timestamp,latitude,longitude,temperature_c,humidity_pct,wind_speed_ms,total_building_area,building_density,road_count,road_density,green_count,green_density,urban_density_index,heat_index,heat_stress_score,hour,day,month,day_of_week,season,real_heat_stress,building_count,avg_building_height,road_length_km,green_area_km2,uhi_effect,real_heat_stress_uhi
2026-01-01 00:00:00,19.5,72.5,22.997955322265625,81.77618408203125,1.165709137916565,5.85599222604113e-05,274.0,20,2220.0,20,9.136161721141096e-05,4.960009136161722,23.48857343885633,29.95310283850477,0,1,1,3,Winter,26.548872237141392,100,10,50,3.0,0.0,26.548872237141392
2026-01-01 00:00:00,19.5,72.75,21.718658447265625,83.5636215209961,0.7571816444396973,5.85599222604113e-05,274.0,20,2220.0,20,9.136161721141096e-05,4.960009136161722,22.1280188539293,28.13757473181532,0,1,1,3,Winter,24.7619903720334,100,10,50,3.0,0.0,24.7619903720334
2026-01-01 00:00:00,19.5,73.0,19.947174072265625,81.3604507446289,0.921039581298828,5.85599222604113e-05,274.0,20,2220.0,20,9.136161721141096e-05,4.960009136161722,20.121858804490834,27.02704158972547,0,1,1,3,Winter,24.64059507511506,100,10,50,3.0,0.0,24.64059507511506
2026-01-01 00:00:00,19.5,73.25,18.365142822265625,80.96221160888672,1.2047852277755735,5.85599222604113e-05,274.0,20,2220.0,20,9.136161721141096e-05,4.960009136161722,18.37122596316868,25.564482080448123,0,1,1,3,Winter,24.402646629649283,100,10,50,3.0,0.0,24.402646629649283
2026-01-01 00:00:00,19.5,73.5,16.884674072265625,83.13575744628906,0.9606881141662598,5.85599222604113e-05,274.0,20,2220.0,20,9.136161721141096e-05,4.960009136161722,16.884674072265625,23.43194957922742,0,1,1,3,Winter,24.68806705412642,100,10,50,3.0,0.0,24.68806705412642
2026-01-01 00:00:00,19.25,72.5,23.062408447265625,79.891845703125,0.299481451511383,5.85599222604113e-05,274.0,20,2220.0,20,9.136161721141096e-05,4.960009136161722,23.510269707573787,30.58285747717664,0,1,1,3,Winter,26.684118691524997,100,10,50,3.0,0.0,26.684118691524997
2026-01-01 00:00:00,19.25,72.75,22.115142822265625,84.90921020507812,0.6690686941146851,5.85599222604113e-05,274.0,20,2220.0,20,9.136161721141096e-05,4.960009136161722,22.599286482069232,28.130382501590702,0,1,1,3,Winter,25.04480482809892,100,10,50,3.0,0.0,25.04480482809892
2026-01-01 00:00:00,19.25,73.0,20.419830322265625,85.30406188964844,1.0126025676727295,5.85599222604113e-05,274.0,20,2220.0,20,9.136161721141096e-05,4.960009136161722,20.744752748277456,26.316614496219607,0,1,1,3,Winter,23.41736107561696,378,27,179,2.4454045002944484,1.5463038183400677,24.963664893957027
2026-01-01 00:00:00,19.25,73.25,18.341705322265625,85.0655517578125,0.8705461025238037,5.85599222604113e-05,274.0,20,2220.0,20,9.136161721141096e-05,4.960009136161722,18.45258748372396,24.3100425357704,0,1,1,3,Winter,22.165457296981117,100,10,50,3.0,0.0,22.165457296981117
2026-01-01 00:00:00,19.25,73.5,16.581939697265625,86.05611419677734,0.851138710975647,5.85599222604113e-05,274.0,20,2220.0,20,9.136161721141096e-05,4.960009136161722,16.581939697265625,22.25310817908094,0,1,1,3,Winter,23.558500233150564,100,10,50,3.0,0.0,23.558500233150564
2026-01-01 00:00:00,19.0,72.5,23.230377197265625,80.08930969238281,1.2448300123214722,5.85599222604113e-05,274.0,20,2220.0,20,9.136161721141096e-05,4.960009136161722,23.700191336737745,30.691587030399297,0,1,1,3,Winter,26.035411749980927,100,10,50,3.0,0.0,26.035411749980927
2026-01-01 00:00:00,19.0,72.75,22.431549072265625,86.5608901977539,1.30158531665802,5.85599222604113e-05,274.0,20,2220.0,20,9.136161721141096e-05,4.960009136161722,22.990460556877988,27.951284753787967,0,1,1,3,Winter,24.07125935169723,100,10,50,3.0,0.0,24.07125935169723
2026-01-01 00:00:00,19.0,73.0,20.232330322265625,86.60563659667969,1.0729211568832395,5.85599222604113e-05,274.0,20,2220.0,20,9.136161721141096e-05,4.960009136161722,20.57248831007216,25.738642084110232,0,1,1,3,Winter,23.983472961532915,100,10,50,3.0,0.0,23.983472961532915
2026-01-01 00:00:00,19.0,73.25,17.410064697265625,86.40938568115234,0.7683340907096863,5.85599222604113e-05,274.0,20,2220.0,20,9.136161721141096e-05,4.960009136161722,17.462871793111162,22.97525173376844,0,1,1,3,Winter,22.802453223091504,100,10,50,3.0,0.0,22.802453223091504
2026-01-01 00:00:00,19.0,73.5,15.898345947265623,88.02987670898438,0.6592046618461609,5.85599222604113e-05,274.0,20,2220.0,20,9.136161721141096e-05,4.960009136161722,15.898345947265623,20.97738567541883,0,1,1,3,Winter,22.730026510957824,100,10,50,3.0,0.0,22.730026510957824
