system:index,Daytime,.geo
54,-2.113019031552973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.94005696701072,19.130073132967283]}"
55,-3.8463682379022046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.9481418045678,19.130073132967283]}"
56,-3.8040762579523246,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.82147934950694,19.127378187114914]}"
57,-2.230225380759329,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84034397047344,19.127378187114914]}"
58,-1.2734425452922622,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84573386217818,19.127378187114914]}"
59,-0.8985136690476239,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85920859143997,19.127378187114914]}"
60,-1.0320096944848345,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.93197212945364,19.127378187114914]}"
61,-4.127036784268093,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.83225913291639,19.12468324126256]}"
62,-4.127036784268093,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.83495407876873,19.12468324126256]}"
63,-1.2694821375160714,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8565136455876,19.12468324126256]}"
64,-2.6908462957920065,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89424288752062,19.12468324126256]}"
65,-1.5011777617116948,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91849740019185,19.12468324126256]}"
66,-3.1794561499901377,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84303891632581,19.121988295410205]}"
67,-1.7112341526891512,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84573386217818,19.121988295410205]}"
68,-1.4455908778353503,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86998837484938,19.121988295410205]}"
69,-1.437131429665392,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.94275191286309,19.121988295410205]}"
70,-3.1794561499901377,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8376490246211,19.119293349557836]}"
71,-1.7112341526891512,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84842880803052,19.119293349557836]}"
72,-1.2694821375160714,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8565136455876,19.119293349557836]}"
73,-1.8191442996782783,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88615804996354,19.119293349557836]}"
74,-0.6071777617116894,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.92927718360127,19.119293349557836]}"
75,-1.437131429665392,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.93466707530601,19.119293349557836]}"
76,-4.127036784268093,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.82686924121165,19.11659840370548]}"
77,-1.7112341526891512,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85112375388289,19.11659840370548]}"
78,-1.8191442996782783,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88076815825883,19.11659840370548]}"
79,-2.6908462957920065,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89424288752062,19.11659840370548]}"
80,-3.301866837341983,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91310750848714,19.11659840370548]}"
81,-1.5011777617116948,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.92388729189656,19.11659840370548]}"
82,-0.6071777617116894,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.92927718360127,19.11659840370548]}"
83,-1.0962728523795775,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86459848314468,19.113903457853127]}"
84,-0.49438590491985934,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88076815825883,19.113903457853127]}"
85,-0.49438590491985934,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88615804996354,19.113903457853127]}"
86,-0.5422340387679938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89154794166828,19.113903457853127]}"
87,-0.5422340387679938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89424288752062,19.113903457853127]}"
88,-0.1531294211633636,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91580245433948,19.113903457853127]}"
