system:index,Daytime,.geo
237,-1.6069066673090404,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86190353729233,19.038444973987083]}"
238,-0.9831082636422153,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.87268332070175,19.038444973987083]}"
239,-1.6139973105839047,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89154794166828,19.038444973987083]}"
240,-1.7622095077434565,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89963277922533,19.038444973987083]}"
241,-3.267432587966546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.93466707530601,19.038444973987083]}"
242,-2.717389123449415,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84573386217818,19.03575002813473]}"
243,-1.0942391313520332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86729342899704,19.03575002813473]}"
244,-1.0942391313520332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86998837484938,19.03575002813473]}"
245,-0.9831082636422153,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.87537826655412,19.03575002813473]}"
246,-2.2040031585371267,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.9077176167824,19.03575002813473]}"
247,-2.2040031585371267,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91041256263478,19.03575002813473]}"
248,-2.9916142696481884,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.92119234604422,19.03575002813473]}"
249,-3.0749476029815312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.92658223774893,19.03575002813473]}"
250,-3.799021249799104,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84303891632581,19.033055082282374]}"
251,-1.4511540016879465,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86729342899704,19.033055082282374]}"
252,-1.5355975950789187,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.87268332070175,19.033055082282374]}"
253,-1.5218093406590825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89154794166828,19.033055082282374]}"
254,-3.799021249799104,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84034397047344,19.030360136430005]}"
255,-3.214947602981546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.9077176167824,19.030360136430005]}"
256,-2.7921524297595184,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84573386217818,19.02766519057765]}"
257,-1.8010159790499145,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88076815825883,19.02766519057765]}"
258,-4.055450605984568,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84303891632581,19.024970244725296]}"
259,-3.179087169377233,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84573386217818,19.024970244725296]}"
260,-2.4868988041827507,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86190353729233,19.024970244725296]}"
261,-2.0200654220389893,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88076815825883,19.024970244725296]}"
262,-4.055450605984568,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84303891632581,19.022275298872927]}"
263,-3.179087169377233,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84573386217818,19.022275298872927]}"
264,-2.0821242026581572,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86729342899704,19.022275298872927]}"
265,-0.8309371602079594,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89963277922533,19.022275298872927]}"
266,-0.8309371602079594,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.90502267093007,19.022275298872927]}"
267,-4.758034904568866,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.82956418706402,19.019580353020572]}"
268,-3.179087169377233,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84842880803052,19.019580353020572]}"
269,-2.4868988041827507,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8565136455876,19.019580353020572]}"
270,-2.8685388104681024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84303891632581,19.016885407168218]}"
271,-2.336892047426012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84573386217818,19.016885407168218]}"
272,-2.336892047426012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85112375388289,19.016885407168218]}"
273,-2.236528799562741,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86459848314468,19.016885407168218]}"
274,-1.3456381774569834,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.9023277250777,19.016885407168218]}"
275,-1.3456381774569834,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.90502267093007,19.016885407168218]}"
276,-3.65686620763271,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.82956418706402,19.014190461315863]}"
277,-2.236528799562741,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86459848314468,19.014190461315863]}"
278,-0.8051273415436313,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89154794166828,19.014190461315863]}"
279,-3.4643581107743913,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.9077176167824,19.014190461315863]}"
280,-2.4267272484807236,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8565136455876,19.011495515463494]}"
281,-0.8051273415436313,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89693783337299,19.011495515463494]}"
282,-3.65686620763271,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.83495407876873,19.00880056961114]}"
283,-2.4267272484807236,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85381869973526,19.00880056961114]}"
284,-2.4267272484807236,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86190353729233,19.00880056961114]}"
285,-1.3456381774569834,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.90502267093007,19.00880056961114]}"
286,-1.965863702007404,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85112375388289,19.006105623758785]}"
287,-2.171585029882131,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85920859143997,19.006105623758785]}"
288,-0.8351273415436324,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89963277922533,19.006105623758785]}"
289,-1.5493116098455246,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.82686924121165,19.00341067790643]}"
290,-2.171585029882131,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8565136455876,19.00341067790643]}"
291,-1.5493116098455246,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.82686924121165,19.00071573205406]}"
292,-1.5517305444596232,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84303891632581,19.00071573205406]}"
293,-0.8351273415436324,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.9023277250777,19.00071573205406]}"
294,-1.1399036304376082,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84303891632581,18.995325840349352]}"
295,-1.789377215520922,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84573386217818,18.995325840349352]}"
296,-1.789377215520922,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84842880803052,18.992630894496983]}"
297,-1.789377215520922,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85112375388289,18.992630894496983]}"
